0x1799f | les ebx, ptr [eax + 0x5e5b0000] ; pop edi ; pop ebp ; ret ; 
0xb1a92 | std ; add byte ptr [eax], al ; pop ebx ; ret ; 
0xb1a9e | add byte ptr [eax], al ; mov eax, 0x7e ; pop ebx ; ret ; 
0xb1b1a | mov byte ptr [0xb8000000], al ; and byte ptr [eax], al ; add byte ptr [eax], al ; ret ; 
0xb1b3f | and byte ptr [eax], al ; add byte ptr [eax], al ; cmovne eax, edx ; ret ; 
0xb1c15 | add byte ptr [edi + ebx - 0x48], dh ; add dword ptr [eax], eax ; add byte ptr [eax], al ; ret ; 
0xb21e4 | imul edx, dword ptr [eax], 0x5e5b0003 ; pop edi ; pop ebp ; ret ; 
0xb5373 | pop edx ; movzx eax, al ; pop ecx ; ret ; 
0xb856b | mov word ptr [ebp - 0x74ffd98c], cs ; push ebx ; or al, 0x83 ; ret ; 
0xb8dac | push esi ; xchg eax, edx ; lldt word ptr [ebx - 0x77] ; ret ; 
0xbc202 | add byte ptr [ebx + 0x5e], bl ; pop edi ; cmovne eax, edx ; ret ; 
0xbc204 | pop esi ; pop edi ; cmovne eax, edx ; ret ; 
0xbc27c | adc byte ptr [ebp + 0x5bdf74c0], al ; pop esi ; pop edi ; ret ; 
0xbc2c4 | adc byte ptr [ebp + 0x5be774c0], al ; pop esi ; pop edi ; ret ; 
0xbc443 | or byte ptr [eax + 0x74111878], al ; push es ; xor eax, eax ; ret ; 
0xbc45a | dec eax ; sbb cl, byte ptr [eax] ; xor eax, eax ; ret ; 
0xbd1ae | and byte ptr [ebx + 0x5e5b4cc4], al ; pop edi ; pop ebp ; ret ; 
0xbe94a | or dword ptr [ebx + 0x50], eax ; xor eax, eax ; pop ebx ; ret ; 
0xbe94c | push eax ; xor eax, eax ; pop ebx ; ret ; 
0xbeb0d | and al, 0x8b ; inc esi ; sbb al, 0x39 ; ret ; 
0xbec65 | sub al, byte ptr [ebx - 0x2f76fb3c] ; pop ebx ; pop esi ; ret ; 
0xbec80 | rol byte ptr [ebx - 0x2f76fb3c], cl ; pop ebx ; pop esi ; ret ; 
0xbef22 | sbb al, byte ptr [ebx + 0x5e5b2cc4] ; pop edi ; pop ebp ; ret ; 
0xbf04d | sbb byte ptr [ebx - 0x7cf3dbbc], cl ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0xc14be | add eax, 8 ; pop ebx ; pop esi ; ret ; 
0xc15cb | mov byte ptr [ebx + 0x5e5b0cc4], al ; pop edi ; pop ebp ; ret ; 
0xc18de | sub byte ptr [ebx + 0x5e5b4cc4], al ; pop edi ; pop ebp ; ret ; 
0xc5cc1 | add dword ptr [eax], eax ; add byte ptr [edi], cl ; pushfd ; ret ; 
0xc5f5b | or al, 0x89 ; dec ebx ; add al, 0x83 ; ret ; 
0xc600f | sub byte ptr [ebx + 0x5e], bl ; pop edi ; pop ebp ; ret ; 
0xca071 | push dword ptr [esp + ecx + 0x5b] ; pop esi ; pop edi ; ret ; 
0xca114 | rol byte ptr [ebp - 0x6af0a42e], 0xc0 ; pop esi ; pop edi ; ret ; 
0xca118 | setne al ; pop esi ; pop edi ; ret ; 
0xca28a | add esp, 0x28 ; movzx eax, al ; pop ebx ; ret ; 
0xca28b | les ebp, ptr [eax] ; movzx eax, al ; pop ebx ; ret ; 
0xca28c | sub byte ptr [edi], cl ; mov dh, 0xc0 ; pop ebx ; ret ; 
0xca9d6 | and byte ptr [ebx + 0x5e5b14c4], al ; pop edi ; pop ebp ; ret ; 
0xcbac5 | add byte ptr [ecx + 0x24c4830a], cl ; pop ebx ; pop esi ; ret ; 
0xcbe53 | setne al ; movzx eax, al ; cmova eax, edx ; ret ; 
0xccced | sldt word ptr [eax] ; add byte ptr [ebp + ebx*2 + 0x5b], dh ; pop esi ; ret ; 
0xcccee | add byte ptr [eax], al ; add byte ptr [ebp + ebx*2 + 0x5b], dh ; pop esi ; ret ; 
0xcccf2 | pop ebp ; pop ebx ; pop esi ; ret ; 
0xccd44 | lea eax, [eax + eax*8 + 5] ; pop ebx ; pop esi ; ret ; 
0xccd77 | mov eax, dword ptr [edx + 8] ; pop ebx ; pop esi ; ret ; 
0xcd40e | adc dword ptr [ebx + 0x5e5b2cc4], eax ; pop edi ; pop ebp ; ret ; 
0xcf2ea | adc byte ptr [ebp + 0x5be175ff], al ; pop esi ; pop edi ; ret ; 
0xd10f7 | add dword ptr [eax + 0x3c3474df], ebp ; cmp cl, byte ptr [edi] ; xchg eax, esp ; ret ; 
0xd10f9 | fbstp tbyte ptr [esp + esi + 0x3c] ; cmp cl, byte ptr [edi] ; xchg eax, esp ; ret ; 
0xd10fb | xor al, 0x3c ; cmp cl, byte ptr [edi] ; xchg eax, esp ; ret ; 
0xd1911 | sti ; add cl, byte ptr [edi] ; xchg eax, ebp ; ret ; 
0xd1935 | sti ; add dword ptr [edi], ecx ; xchg eax, ebp ; ret ; 
0xd2a57 | add byte ptr [ecx - 0x743a763d], cl ; inc eax ; add al, 0x83 ; ret ; 
0xd2e1a | add byte ptr [eax + 0x6a], dl ; add al, ch ; insd dword ptr es:[edi], dx ; ret ; 
0xd415d | ror dword ptr [ecx + eax*8 - 0x17], 2 ; rep stosd dword ptr es:[edi], eax ; pop edi ; ret ; 
0xd424a | add byte ptr [ebp - 0x74498a2e], al ; inc edi ; add al, 0xeb ; ret ; 
0xd424e | mov dh, 0x8b ; inc edi ; add al, 0xeb ; ret ; 
0xd44cb | add al, 0x66 ; mov dword ptr [eax], edx ; xor eax, eax ; ret ; 
0xd4db6 | or al, 1 ; add byte ptr [eax], al ; xor eax, eax ; ret ; 
0xd4dcc | or byte ptr [ecx], al ; add byte ptr [eax], al ; xor eax, eax ; ret ; 
0xd4df9 | adc eax, 0x10 ; neg eax ; pop ebx ; ret ; 
0xd4dfc | add byte ptr [eax], al ; neg eax ; pop ebx ; ret ; 
0xd4e02 | lea esi, [esi] ; xor eax, eax ; pop ebx ; ret ; 
0xd4ea8 | fidiv word ptr [edi - 0x63] ; pop ebx ; pop esi ; ret ; 
0xd4eaa | popfd ; pop ebx ; pop esi ; ret ; 
0xd4f00 | test byte ptr [ebx + 0x66], 0x80 ; pop ebx ; cmove eax, ecx ; ret ; 
0xd4f7e | adc dword ptr [ebx - 0x7cf3dbbc], ecx ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0xd4f99 | in eax, 0x83 ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0xd524e | push dword ptr [edi + 0x17] ; pop ebx ; pop esi ; ret ; 
0xd5250 | pop ss ; pop ebx ; pop esi ; ret ; 
0xd52a2 | push dword ptr [edi + 0x1b] ; pop ebx ; pop esi ; ret ; 
0xd530c | add byte ptr [ebx - 0x3b7cef3c], al ; pop ebx ; pop esi ; ret ; 
0xd6b4d | add byte ptr [ebx - 0x7cb3dbbc], cl ; in al, dx ; add al, 0x29 ; ret ; 
0xd7542 | add esp, 0x58 ; movzx eax, al ; pop ebx ; ret ; 
0xd7543 | les ebx, ptr [eax + 0xf] ; mov dh, 0xc0 ; pop ebx ; ret ; 
0xd7544 | pop eax ; movzx eax, al ; pop ebx ; ret ; 
0xd8822 | or byte ptr [ecx], bh ; fimul word ptr [edi] ; xchg eax, edx ; ret ; 
0xd88ef | sub eax, 0x5afffff9 ; pop ecx ; add esp, 0xc ; ret ; 
0xdb387 | or byte ptr [esi - 0x77], ah ; inc edx ; xor eax, eax ; ret ; 
0xdccfa | inc edx ; inc edx ; xor eax, eax ; ret ; 
0xdcff3 | cmova eax, edx ; pop esi ; pop edi ; ret ; 
0xdd02a | pop ebx ; pop ebp ; neg eax ; ret ; 
0xdd646 | push dword ptr [edi + 7] ; pop ebx ; pop esi ; ret ; 
0xdd648 | pop es ; pop ebx ; pop esi ; ret ; 
0xdd765 | mov dword ptr [eax + 0x50], ecx ; mov dword ptr [eax + 0x54], edx ; xor eax, eax ; ret ; 
0xdd767 | push eax ; mov dword ptr [eax + 0x54], edx ; xor eax, eax ; ret ; 
0xdd769 | push eax ; push esp ; xor eax, eax ; ret ; 
0xddc6b | les ecx, ptr [eax + 0x5e5b0000] ; pop edi ; pop ebp ; ret ; 
0xde450 | or al, byte ptr [eax] ; add byte ptr [eax], al ; xor byte ptr [ecx], 0xc0 ; ret ; 
0xde7ab | add byte ptr [ebx - 0x2776cb3c], al ; pop ebx ; pop esi ; ret ; 
0xdea1e | adc dword ptr [ebx + 0x5e5b1cc4], eax ; pop edi ; pop ebp ; ret ; 
0xdec2a | or eax, 0x5b20c483 ; pop esi ; pop edi ; ret ; 
0xdef41 | clc ; pop ds ; add esp, 0xc ; ret ; 
0xdf095 | add dh, byte ptr [edi + 8] ; xor eax, eax ; pop ebx ; ret ; 
0xdf94b | les edx, ptr [eax + 0x5b000001] ; pop esi ; pop edi ; ret ; 
0xe0278 | add edx, dword ptr [esp + 0x1c] ; mov eax, edx ; add esp, 0x2c ; ret ; 
0xe027a | and al, 0x1c ; mov eax, edx ; add esp, 0x2c ; ret ; 
0xe1614 | mov dword ptr [ecx + 4], edx ; mov dword ptr [edx], ecx ; mov dword ptr [edx + 4], eax ; ret ; 
0xe1763 | add byte ptr [ebx + 0x5e5b04c4], al ; pop edi ; pop ebp ; ret ; 
0xe3bbb | inc esp ; and al, 0x2c ; add esp, 0x3c ; ret ; 
0xe4312 | adc byte ptr [ebp - 0x72e68b40], al ; push ebx ; add al, 0x83 ; ret ; 
0xe58a7 | les eax, ptr [ebx + ebx*2] ; mov eax, esi ; pop esi ; ret ; 
0xe58a8 | add al, 0x5b ; mov eax, esi ; pop esi ; ret ; 
0xe58a9 | pop ebx ; mov eax, esi ; pop esi ; ret ; 
0xe59e5 | mov eax, dword ptr [eax + 0x20] ; test eax, eax ; cmove eax, edx ; ret ; 
0xe5cbd | lea esi, [esi] ; mov eax, dword ptr [eax + 0x40] ; pop ebx ; ret ; 
0xe5cc1 | inc eax ; inc eax ; pop ebx ; ret ; 
0xe5cc9 | sbb ah, 1 ; add byte ptr [eax], al ; pop ebx ; ret ; 
0xe5cca | fadd qword ptr [ecx] ; add byte ptr [eax], al ; pop ebx ; ret ; 
0xe7031 | sti ; push ss ; inc dword ptr [ebx + 0x5f5b34c4] ; ret ; 
0xe7228 | add byte ptr [0xfffff000], ah ; or eax, edx ; pop ebx ; ret ; 
0xe7229 | and eax, 0xfffff000 ; or eax, edx ; pop ebx ; ret ; 
0xe7250 | fmul dword ptr [ebx + ebx*2] ; xor al, al ; or eax, ecx ; ret ; 
0xe7251 | or al, 0x5b ; xor al, al ; or eax, ecx ; ret ; 
0xe7252 | pop ebx ; xor al, al ; or eax, ecx ; ret ; 
0xe7383 | push dword ptr [edi + 0xa] ; pop ebx ; pop esi ; ret ; 
0xe8571 | mov ebx, 0x83fff301 ; les ebp, ptr [eax] ; pop ebx ; ret ; 
0xe8aad | ror byte ptr [ebx + 0x78009184], cl ; cli ; push ebx ; ret ; 
0xe8af3 | add byte ptr [eax], al ; add byte ptr [eax], al ; cmovb eax, edx ; ret ; 
0xe981b | mov al, byte ptr [0x83000001] ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0xe9896 | or byte ptr [ebx + 0x5e5b04c4], al ; pop edi ; pop ebp ; ret ; 
0xe99b2 | or byte ptr [ecx], ah ; add byte ptr [eax], al ; add word ptr [edx + eax*2], 1 ; ret ; 
0xeaf1d | movzx eax, word ptr [eax + edx*2] ; pop edi ; and eax, 1 ; ret ; 
0xeaf1f | add al, 0x50 ; pop edi ; and eax, 1 ; ret ; 
0xeaf20 | push eax ; pop edi ; and eax, 1 ; ret ; 
0xeb321 | pop edi ; and ax, 0x100 ; movzx eax, ax ; ret ; 
0xec7b6 | or dword ptr [ebx - 0x2f76fb3c], eax ; pop ebx ; pop esi ; ret ; 
0xec9fb | add byte ptr [eax], al ; add bl, ch ; lodsb al, byte ptr [esi] ; ret ; 
0xedf5a | and byte ptr [ebx - 0xf76fb3c], al ; pop ebx ; pop esi ; ret ; 
0xee769 | mov esi, 0x14c483c2 ; pop ebx ; pop esi ; ret ; 
0xee7e4 | add al, 0x83 ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0xee821 | or byte ptr [ecx - 0x3b7cf7aa], cl ; add al, 0x5b ; pop esi ; ret ; 
0xeeb40 | adc al, 0x8b ; pop ecx ; adc al, 0x39 ; ret ; 
0xf1e81 | sal byte ptr [ebp - 0x14], 0x83 ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0xf1f9b | mov eax, 7 ; pop ebx ; pop esi ; ret ; 
0xf1f9c | pop es ; add byte ptr [eax], al ; add byte ptr [ebx + 0x5e], bl ; ret ; 
0xf22c8 | rol byte ptr [ebx + 0x5e5b3cc4], 1 ; pop edi ; pop ebp ; ret ; 
0xf30ff | nop ; mov eax, dword ptr [eax + 0x18] ; ret ; 
0xf317a | shr ax, 0xe ; and eax, 1 ; pop ebx ; ret ; 
0xf317b | shr eax, 0xe ; and eax, 1 ; pop ebx ; ret ; 
0xf317d | push cs ; and eax, 1 ; pop ebx ; ret ; 
0xf31ba | xor eax, eax ; test edx, edx ; sete al ; ret ; 
0xf31fd | sar byte ptr [ebx], 0x54 ; and al, 4 ; setae al ; ret ; 
0xf31ff | push esp ; and al, 4 ; setae al ; ret ; 
0xf3222 | sal byte ptr [ebp + 0xb], 0xb8 ; add dword ptr [eax], eax ; add byte ptr [eax], al ; ret ; 
0xf3b65 | add eax, dword ptr [ebp + 0x5eeb75c0] ; pop ebx ; pop edx ; ret ; 
0xf3b67 | sal byte ptr [ebp - 0x15], 0x5e ; pop ebx ; pop edx ; ret ; 
0xf3b6a | pop esi ; pop ebx ; pop edx ; ret ; 
0xf3b91 | pop edx ; pop ecx ; pop ebx ; ret ; 
0xf3bd6 | or dh, byte ptr [ebx + edx - 0x7d] ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0xf3c4f | sbb byte ptr [ebx + 0x5e5b0cc4], al ; pop edi ; pop ebp ; ret ; 
0xf3e34 | rol byte ptr [ebx - 0x1f7cfb3c], 0xc ; pop ebx ; pop esi ; ret ; 
0xf3e38 | and eax, 0xc ; pop ebx ; pop esi ; ret ; 
0xf3ea8 | cmp byte ptr [eax], 0 ; add byte ptr [ecx], bh ; sal dword ptr [ebp - 0x20], 0x5b ; ret ; 
0xf3ea9 | cmp byte ptr [eax], al ; add byte ptr [ecx], bh ; sal dword ptr [ebp - 0x20], 0x5b ; ret ; 
0xf428c | mov dword ptr [eax], ebx ; xor eax, eax ; pop ebx ; ret ; 
0xf4640 | test bl, al ; add byte ptr [eax], al ; add byte ptr [ecx], bh ; ret ; 
0xf4692 | fisttp qword ptr [ebp + 0x5e5bf465] ; pop edi ; pop ebp ; ret ; 
0xf50bc | and byte ptr [eax], al ; add byte ptr [eax], al ; add esp, 0x2c ; ret ; 
0xf5610 | pop esp ; in eax, 0xff ; inc dword ptr [ebx - 0x17aef314] ; ret ; 
0xf5cb9 | cmp eax, dword ptr [ebx + 0x5e5b0cc4] ; pop edi ; pop ebp ; ret ; 
0xf5eee | adc byte ptr [ebp - 0x7cf28b40], al ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0xf6094 | neg byte ptr [ebx + 0x5e] ; pop edi ; pop ebp ; ret ; 
0xf620a | mov esp, 0x27 ; add byte ptr [ebx + 0x5e], bl ; pop edi ; ret ; 
0xf6a10 | pop esp ; sar edi, 1 ; inc dword ptr [ebx - 0x17aef314] ; ret ; 
0xf6e62 | mov edx, 0x83fffe89 ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0xf6fb7 | adc eax, 0x83fff9aa ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0xf6ff7 | and eax, 0x83fff9aa ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0xf75eb | add byte ptr [edi + 7], dh ; sar eax, 5 ; add esp, 0xc ; ret ; 
0xf75ed | pop es ; sar eax, 5 ; add esp, 0xc ; ret ; 
0xf7739 | or ecx, dword ptr [ebp + 0x29288b] ; add al, ch ; sti ; ret ; 
0xf773d | sub dword ptr [eax], eax ; add al, ch ; sti ; ret ; 
0xf7941 | inc esp ; and al, 4 ; bswap eax ; ret ; 
0xf7a05 | enter -0x3f7b, 0x78 ; push es ; shr eax, 0x18 ; ret ; 
0xf7a76 | inc dword ptr [ebx - 0xf76db3c] ; pop ebx ; pop esi ; ret ; 
0xf7b54 | inc dword ptr [ebx + 0x5e5b24c4] ; pop edi ; pop ebp ; ret ; 
0xf995a | dec dword ptr [ebx - 0x72f7db84] ; lodsd eax, dword ptr [esi] ; cwde ; ret ; 
0xf9a9c | sub byte ptr [edx - 0x73], dl ; xchg eax, ebp ; cwde ; ret ; 
0xf9e34 | sub byte ptr [edx - 0x73], dl ; xchg eax, ebp ; cmpsd dword ptr [esi], dword ptr es:[edi] ; ret ; 
0xfa7fc | sub byte ptr [edx - 0x73], dl ; xchg eax, ebx ; int1 ; ret ; 
0xfcccd | inc dword ptr [ebx - 0x3b7cef3c] ; and al, 0x5b ; pop esi ; ret ; 
0xfdc31 | adc byte ptr [ebp + 0x5bea75c0], al ; pop esi ; pop edi ; ret ; 
0xfdc33 | sal byte ptr [ebp - 0x16], 0x5b ; pop esi ; pop edi ; ret ; 
0xfdc87 | adc byte ptr [ecx - 0x2f76a43e], cl ; pop esi ; pop edi ; ret ; 
0xfdf4e | inc dword ptr [ebx - 0x2f76fb3c] ; pop ebx ; pop esi ; ret ; 
0xff656 | les edi, ptr [ebp + eax + 0x5e5b0000] ; pop edi ; pop ebp ; ret ; 
0x100530 | sti ; adc al, 0xf ; xchg eax, esp ; ret ; 
0x100694 | pop esi ; or dword ptr [eax], eax ; add byte ptr [ecx], bh ; ret ; 
0x100ac6 | clc ; add ecx, dword ptr [edi] ; xchg byte ptr [eax + 0x39000002], cl ; ret ; 
0x101217 | add byte ptr [ebx + 0x108901c2], al ; xor eax, eax ; pop ebx ; ret ; 
0x101264 | add byte ptr [eax], al ; mov dword ptr [edx], eax ; xor eax, eax ; ret ; 
0x101465 | sbb dword ptr [ebx + 0x5e5b10c4], eax ; pop edi ; pop ebp ; ret ; 
0x1019fd | lea esi, [esi] ; mov eax, 0xffffffff ; pop ebx ; ret ; 
0x101ae1 | lea eax, [edx + eax + 2] ; pop edi ; pop ebp ; ret ; 
0x101ae3 | add al, byte ptr [edx] ; pop edi ; pop ebp ; ret ; 
0x101cc3 | mov dword ptr [ecx], edx ; pop ebx ; pop esi ; ret ; 
0x101d18 | xor ebx, dword ptr [ebx + 0x5e] ; pop edi ; pop ebp ; ret ; 
0x10200a | add al, 0x8d ; inc esp ; add cl, byte ptr [eax] ; ret ; 
0x102584 | xchg ch, cl ; add al, byte ptr [eax] ; add byte ptr [ecx], bh ; ret ; 
0x102c1c | adc cl, byte ptr [eax] ; add ecx, dword ptr [edi] ; xchg eax, ebp ; ret ; 
0x102d6b | add dword ptr [ebx + 0x5e5b1cc4], eax ; pop edi ; pop ebp ; ret ; 
0x103061 | add byte ptr [eax], al ; add byte ptr [ebx + 0x5e5b30c4], al ; pop edi ; ret ; 
0x10348c | inc dword ptr [ebx + 0x5e5b7cc4] ; pop edi ; pop ebp ; ret ; 
0x104955 | rol dword ptr [ebx + 0x5e5b1cc4], cl ; pop edi ; pop ebp ; ret ; 
0x104d38 | add eax, dword ptr [ebx + 0x5e5b1cc4] ; pop edi ; pop ebp ; ret ; 
0x104d56 | les ebx, ptr [ecx*4 + 0x5e5b0245] ; pop edi ; pop ebp ; ret ; 
0x10526e | add byte ptr [ebp - 0x7cf28b40], al ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x1052f7 | or byte ptr [ebx + 0x5e5b3cc4], al ; pop edi ; pop ebp ; ret ; 
0x10536e | cmp byte ptr [ebx + 0x5e5b3cc4], al ; pop edi ; pop ebp ; ret ; 
0x10564a | sbb byte ptr [ebp + 0x5b0975c0], al ; pop esi ; pop edi ; ret ; 
0x10564c | sal byte ptr [ebp + 9], 0x5b ; pop esi ; pop edi ; ret ; 
0x10568e | sal byte ptr [ebp - 0x19], 0x5b ; pop esi ; pop edi ; ret ; 
0x106560 | or al, 0x75 ; in eax, dx ; add esp, 0x1c ; ret ; 
0x107705 | rcl byte ptr [edi + 0x5e5bfffa], cl ; pop edi ; pop ebp ; ret ; 
0x107dc1 | or al, 0x83 ; les edx, ptr [eax] ; add esp, 0xc ; ret ; 
0x107f38 | mov al, byte ptr [0x83000031] ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x108e36 | or dword ptr [ebx - 0x3fcecb3c], eax ; pop ebx ; pop esi ; ret ; 
0x108ece | add esp, 0x34 ; pop ebx ; pop esi ; ret ; 
0x109227 | or byte ptr [ebx - 0x3fceeb3c], al ; pop ebx ; pop esi ; ret ; 
0x109c94 | add byte ptr [eax - 0x73], dl ; inc ebx ; or al, 0x83 ; ret ; 
0x109dbb | add byte ptr [eax], al ; mov dword ptr [eax + 8], ecx ; pop ebx ; ret ; 
0x10ab5f | mov dword ptr [edx + 0x34], ebx ; pop ebx ; pop esi ; ret ; 
0x10ab60 | pop edx ; xor al, 0x5b ; pop esi ; ret ; 
0x10ab7a | mov dword ptr [edx + 0x10], ecx ; pop ebx ; pop esi ; ret ; 
0x10ac6f | les eax, ptr [ebx + ebx*2] ; pop esi ; sub eax, edx ; ret ; 
0x10ac70 | add al, 0x5b ; pop esi ; sub eax, edx ; ret ; 
0x10ac71 | pop ebx ; pop esi ; sub eax, edx ; ret ; 
0x10ac87 | les eax, ptr [ebx + ebx*2] ; pop esi ; add eax, edx ; ret ; 
0x10ac88 | add al, 0x5b ; pop esi ; add eax, edx ; ret ; 
0x10ac89 | pop ebx ; pop esi ; add eax, edx ; ret ; 
0x10afac | or eax, dword ptr [ebx - 0x3fcefb3c] ; pop ebx ; pop esi ; ret ; 
0x10b38c | adc byte ptr [eax + 1], bh ; pop ebx ; pop esi ; ret ; 
0x10b5ee | adc dword ptr [ebx - 0x3fcefb3c], eax ; pop ebx ; pop esi ; ret ; 
0x10b628 | adc byte ptr [ebp - 0x7ce58b40], al ; in al, dx ; add al, 0x83 ; ret ; 
0x10b856 | mov eax, 3 ; add esp, 0x38 ; pop ebx ; ret ; 
0x10b859 | add byte ptr [eax], al ; add esp, 0x38 ; pop ebx ; ret ; 
0x10e8a2 | or byte ptr [ecx], al ; add byte ptr [eax], al ; add byte ptr [ebp - 0x18], dl ; ret ; 
0x11037b | adc byte ptr [eax + eax], al ; add byte ptr [ebx + 0x5e], bl ; pop edi ; ret ; 
0x11037c | add al, 0 ; add byte ptr [ebx + 0x5e], bl ; pop edi ; ret ; 
0x1105ff | nop ; xor eax, eax ; pop ebx ; ret ; 
0x110e01 | push ecx ; sub byte ptr [eax + 1], bh ; pop ebx ; ret ; 
0x111d6b | setne al ; neg eax ; add esp, 0x1c ; ret ; 
0x111d6c | xchg eax, ebp ; sal bh, 0xd8 ; add esp, 0x1c ; ret ; 
0x111d91 | in al, dx ; or al, ch ; mov ebp, 0x810000dd ; ret ; 
0x111dd4 | add esp, 0x74 ; pop ebx ; pop edi ; ret ; 
0x11217a | and eax, 2 ; sub eax, 1 ; add esp, 0x1c ; ret ; 
0x1121b0 | mov eax, dword ptr [0xab8fff5] ; add byte ptr [eax], al ; add al, ch ; ret ; 
0x1121d9 | mov dword ptr [eax + 4], ecx ; xor eax, eax ; add esp, 0x1c ; ret ; 
0x1129ab | sal byte ptr [edx + ecx - 0x7d], 1 ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x1129ba | mov eax, 0x83ffffff ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x1129ee | add esp, 8 ; sub eax, -0x80 ; pop ebx ; ret ; 
0x1129ef | les ecx, ptr [eax] ; sub eax, -0x80 ; pop ebx ; ret ; 
0x112a42 | push 0x83ffffff ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x112d01 | fild dword ptr [ebx - 0x2776eb3c] ; pop ebx ; pop esi ; ret ; 
0x113506 | add byte ptr [ebp - 0x7c1a8a40], al ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x113508 | sal byte ptr [ebp - 0x1b], 0x83 ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x11350a | in eax, 0x83 ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x113a73 | and al, 0x34 ; add dword ptr [eax], eax ; add al, ch ; ret ; 
0x114c35 | push esp ; and al, 0x40 ; add esp, 0x3c ; ret ; 
0x115625 | and al, 0x83 ; les edx, ptr [eax] ; add esp, 0xc ; ret ; 
0x115852 | and al, 4 ; mov eax, dword ptr [edx + 0xc] ; sub eax, dword ptr [edx + 0x10] ; ret ; 
0x11587d | add dword ptr [eax], eax ; add byte ptr [eax], al ; mov dword ptr [ecx + 0x14], edx ; ret ; 
0x115883 | adc al, 0xc3 ; lea esi, [esi] ; xor eax, eax ; ret ; 
0x1158a4 | mov eax, dword ptr [ecx + 0xc] ; add edx, eax ; mov dword ptr [ecx + 0xc], edx ; ret ; 
0x1158ab | or al, 0xc3 ; lea esi, [esi] ; xor eax, eax ; ret ; 
0x115a4c | add al, 0x89 ; push eax ; adc al, 0x5b ; ret ; 
0x115baa | adc al, 0xb8 ; add dword ptr [eax], eax ; add byte ptr [eax], al ; ret ; 
0x116179 | ljmp 0x76:0x8de6ff03 ; pop ebx ; pop esi ; ret ; 
0x1171cd | or byte ptr [ebx - 0xaf43], cl ; dec dword ptr [edi] ; scasd eax, dword ptr es:[edi] ; ret ; 
0x117635 | xchg edi, ebx ; cmc ; lcall [edx - 0x7d] ; ret ; 
0x1178be | test byte ptr [0x8b000001], dh ; inc ecx ; or byte ptr [ecx], bh ; ret ; 
0x1178bf | xor eax, 0x8b000001 ; inc ecx ; or byte ptr [ecx], bh ; ret ; 
0x117d22 | add byte ptr [ebx - 0x74dfdbbc], cl ; pop edx ; or byte ptr [ecx], bh ; ret ; 
0x118f26 | or dword ptr [ebx + 0x5e5b2cc4], eax ; pop edi ; pop ebp ; ret ; 
0x1194dc | push 0x83ffefe2 ; les edx, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0x119caf | les ebx, ptr [ecx + eax*8] ; clc ; pop ds ; ret ; 
0x119cb0 | sbb al, 0xc1 ; clc ; pop ds ; ret ; 
0x119eb8 | les edx, ptr [eax - 0xf770000] ; pop ebx ; pop esi ; ret ; 
0x119eba | add eax, 0xf0890000 ; pop ebx ; pop esi ; ret ; 
0x119f01 | les edx, ptr [eax - 0x3fcf0000] ; pop ebx ; pop esi ; ret ; 
0x119f03 | add eax, 0xc0310000 ; pop ebx ; pop esi ; ret ; 
0x119f32 | or eax, 0xb8 ; add byte ptr [edi], cl ; inc esp ; ret ; 
0x11a388 | sar byte ptr [eax + 0xd], 0x83 ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0x11a43d | xor cl, byte ptr [ebx - 0x7cf3dbbc] ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0x11a695 | add byte ptr [eax], al ; add al, ch ; mov eax, 0x81000054 ; ret ; 
0x11b387 | add al, ch ; mov dword ptr [0x89ffefd3], eax ; ret ; 
0x11c1bb | push dword ptr [edx + ecx - 0x7d] ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x11c8b0 | mov esp, 0x83ffffde ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x11cf8e | or al, 0x83 ; les ebp, ptr [eax] ; pop ebx ; ret ; 
0x11cfe5 | inc ebx ; or byte ptr [ebx + 0x5e], bl ; pop edi ; ret ; 
0x11d009 | add byte ptr [edx], al ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x11d148 | add al, 0x83 ; les ebx, ptr [eax] ; pop ebx ; ret ; 
