0xbab23 | adc al, 0x30 ; in eax, dx ; mov byte ptr [rdi + 0x15], ch ; ret ; 
0xbaa6b | mov dword ptr [rdi + 7], edx ; xor ch, ch ; mov byte ptr [rdi + 0xf], ch ; ret ; 
0x44354 | mov dword ptr [rdi + 8], ecx ; xor eax, eax ; mov qword ptr [rdi], r8 ; ret ; 
0xba9cb | mov dword ptr [rdi + 8], edx ; xor ch, ch ; mov byte ptr [rdi + 0xa], ch ; ret ; 
0xbaa09 | mov dword ptr [rdi + 8], edx ; xor ch, ch ; mov byte ptr [rdi + 0xc], ch ; ret ; 
0x44339 | mov dword ptr [rdi], eax ; mov qword ptr [rdi + 8], rcx ; xor eax, eax ; ret ; 
0x532b4 | mov dword ptr [rdi], eax ; shl r9, cl ; mov qword ptr [rdi - 8], r9 ; ret ; 
0x533be | mov dword ptr [rdi], eax ; shr r9, cl ; mov qword ptr [rdi + 8], r9 ; ret ; 
0xb7ec4 | mov dword ptr [rdi], ecx ; mov byte ptr [rdi + 2], dh ; lea rax, [rdi + 2] ; ret ; 
0xb8d25 | mov dword ptr [rdi], ecx ; mov byte ptr [rdi + 4], dl ; lea rax, [rdi + 5] ; ret ; 
0xb7f67 | mov dword ptr [rdi], ecx ; mov dword ptr [rdi + 7], edx ; lea rax, [rdi + 0xa] ; ret ; 
0xb8db7 | mov dword ptr [rdi], ecx ; mov dword ptr [rdi + 7], edx ; lea rax, [rdi + 0xb] ; ret ; 
0xba914 | mov dword ptr [rdi], edx ; xor ch, ch ; mov byte ptr [rdi + 2], ch ; ret ; 
0xba942 | mov dword ptr [rdi], edx ; xor ch, ch ; mov byte ptr [rdi + 4], ch ; ret ; 
0xba994 | mov dword ptr [rdi], edx ; xor ch, ch ; mov byte ptr [rdi + 8], ch ; ret ; 
0x54a76 | mov dword ptr [rdi], esi ; mov dword ptr [rdx], eax ; mov eax, 1 ; ret ; 
0x8265e | mov dword ptr [rdx + 0x20], eax ; mov dword ptr [rcx], edi ; mov eax, edi ; ret ; 
0x880ac | mov dword ptr [rdx], eax ; xor eax, eax ; pop rbx ; ret ; 
0x442bd | mov dword ptr [rsi + 0x10], edx ; mov qword ptr [rsi + 0x28], rax ; xor eax, eax ; ret ; 
0x52516 | mov dword ptr [rsi + rcx + 8], eax ; xor eax, eax ; pop rbx ; ret ; 
0x15308f | mov eax, 0xb8000000 ; add dword ptr [rax], eax ; add byte ptr [rax], al ; ret ; 
0xf4031 | mov eax, 0xc ; pop rbp ; pop r12 ; ret ; 
0x116475 | mov eax, 0xffffffff ; pop rbp ; pop r12 ; ret ; 
0x14e4f5 | mov eax, 1 ; pop rbp ; pop r12 ; ret ; 
0x108c7c | mov eax, 5 ; pop rbp ; pop r12 ; ret ; 
0x22c50 | mov eax, 8 ; ret ; 
0x11f7fc | mov eax, dword ptr [rax + 0x38] ; test eax, eax ; cmove eax, edx ; ret ; 
0x8941d | mov eax, dword ptr [rbx + 0x20] ; mov qword ptr [rbx + 0x28], rax ; pop rbx ; ret ; 
0x17d066 | mov eax, dword ptr [rcx + 5] ; mov dword ptr [rdx + 5], eax ; mov rax, rdi ; ret ; 
0x17d076 | mov eax, dword ptr [rcx + 6] ; mov dword ptr [rdx + 6], eax ; mov rax, rdi ; ret ; 
0x181360 | mov eax, dword ptr [rcx] ; mov dword ptr [rdx], eax ; lea rax, [rdx + 3] ; ret ; 
0x1812b1 | mov eax, dword ptr [rcx] ; mov qword ptr [rdx], rax ; lea rax, [rdx + 7] ; ret ; 
0x181331 | mov eax, dword ptr [rcx] ; mov word ptr [rdx], ax ; lea rax, [rdx + 1] ; ret ; 
0x10eb40 | mov eax, dword ptr [rdi + 4] ; mov dword ptr [rsi], eax ; xor eax, eax ; ret ; 
0x8a1f0 | mov eax, dword ptr [rdi] ; shr eax, 4 ; and eax, 1 ; ret ; 
0x8a200 | mov eax, dword ptr [rdi] ; shr eax, 5 ; and eax, 1 ; ret ; 
0x30851 | mov eax, dword ptr [rsi + 0x70] ; movsxd rdi, edi ; mov eax, dword ptr [rax + rdi*4] ; ret ; 
0x30861 | mov eax, dword ptr [rsi + 0x78] ; movsxd rdi, edi ; mov eax, dword ptr [rax + rdi*4] ; ret ; 
0x199abd | mov eax, dword ptr [rsp] ; add rsp, 0x30 ; pop rbx ; ret ; 
0xa1916 | mov eax, ebx ; pop rbx ; cmovne rax, rdx ; ret ; 
0x4faa6 | mov eax, ecx ; shl eax, 0x1e ; or eax, edx ; ret ; 
0x92310 | mov eax, edi ; pop rbp ; pop r12 ; ret ; 
0x105aa3 | mov ebp, 0xfffffe60 ; add dword ptr [rdi], ecx ; xchg eax, esp ; ret ; 
0x1925ac | mov ecx, dword ptr [rcx - 4] ; mov dword ptr [rdi], esi ; mov dword ptr [r9 - 4], ecx ; ret ; 
0x520e6 | mov ecx, dword ptr [rdi + 0x30] ; mov rdi, qword ptr [rdi + 0x68] ; xor eax, eax ; ret ; 
0x52416 | mov ecx, dword ptr [rsi + 0x30] ; mov rsi, qword ptr [rsi + 0x70] ; xor eax, eax ; ret ; 
0x9dc91 | mov edi, dword ptr [rcx] ; add dword ptr [rax], eax ; cmove rax, rdx ; ret ; 
0x1259bc | mov edi, edi ; movzx eax, word ptr [rax + rdi*2] ; and eax, 1 ; ret ; 
0xbba46 | mov edx, 0 ; cmove rax, rdx ; pop rbx ; ret ; 
0xa1350 | mov edx, 0 ; cmovne rax, rdx ; pop rbx ; ret ; 
0xb7ed0 | mov edx, dword ptr [rsi] ; mov dword ptr [rdi], edx ; lea rax, [rdi + 3] ; ret ; 
0xb8d10 | mov edx, dword ptr [rsi] ; mov dword ptr [rdi], edx ; lea rax, [rdi + 4] ; ret ; 
0xb7f21 | mov edx, dword ptr [rsi] ; mov qword ptr [rdi], rdx ; lea rax, [rdi + 7] ; ret ; 
0xb8d61 | mov edx, dword ptr [rsi] ; mov qword ptr [rdi], rdx ; lea rax, [rdi + 8] ; ret ; 
0xb7eb1 | mov edx, dword ptr [rsi] ; mov word ptr [rdi], dx ; lea rax, [rdi + 1] ; ret ; 
0xb8ce1 | mov edx, dword ptr [rsi] ; mov word ptr [rdi], dx ; lea rax, [rdi + 2] ; ret ; 
0x9d701 | mov edx, dword ptr [rsp + 8] ; add rsp, 0x10 ; pop rbx ; ret ; 
0x24e6c | mov esi, 0x48891b52 ; push rax ; mov dword ptr [rax + 0x54], edx ; ret ; 
0x165d9f | mov esi, eax ; shr ecx, 3 ; rep movsq qword ptr [rdi], qword ptr [rsi] ; ret ; 
0x8a876 | mov qword ptr [rbx + 0x10], rax ; mov rax, rbx ; pop rbx ; ret ; 
0x129ef9 | mov qword ptr [rbx + 0x10], rsi ; add rsp, 0x10 ; pop rbx ; ret ; 
0x129f39 | mov qword ptr [rbx + 0x18], rsi ; add rsp, 0x10 ; pop rbx ; ret ; 
0x129eb9 | mov qword ptr [rbx + 8], rsi ; add rsp, 0x10 ; pop rbx ; ret ; 
0x52816 | mov qword ptr [rcx + rdi + 8], rax ; xor eax, eax ; pop rbx ; ret ; 
0xefaa7 | mov qword ptr [rcx], rax ; add rsp, 0x20 ; pop rbx ; ret ; 
0x87339 | mov qword ptr [rcx], rax ; xor eax, eax ; pop rbx ; ret ; 
0xbab7c | mov qword ptr [rdi + 0x10], rcx ; xor ch, ch ; mov byte ptr [rdi + 0x18], ch ; ret ; 
0xbab3c | mov qword ptr [rdi + 0xe], rcx ; xor ch, ch ; mov byte ptr [rdi + 0x16], ch ; ret ; 
0xbab5c | mov qword ptr [rdi + 0xf], rcx ; xor ch, ch ; mov byte ptr [rdi + 0x17], ch ; ret ; 
0xbaa2a | mov qword ptr [rdi + 5], rdx ; xor ch, ch ; mov byte ptr [rdi + 0xd], ch ; ret ; 
0xbaa4a | mov qword ptr [rdi + 6], rdx ; xor ch, ch ; mov byte ptr [rdi + 0xe], ch ; ret ; 
0xbaa6a | mov qword ptr [rdi + 7], rdx ; xor ch, ch ; mov byte ptr [rdi + 0xf], ch ; ret ; 
0x44353 | mov qword ptr [rdi + 8], rcx ; xor eax, eax ; mov qword ptr [rdi], r8 ; ret ; 
0x44338 | mov qword ptr [rdi], r8 ; mov qword ptr [rdi + 8], rcx ; xor eax, eax ; ret ; 
0xba993 | mov qword ptr [rdi], rdx ; xor ch, ch ; mov byte ptr [rdi + 8], ch ; ret ; 
0x8265d | mov qword ptr [rdx + 0x20], rax ; mov dword ptr [rcx], edi ; mov eax, edi ; ret ; 
0x880ab | mov qword ptr [rdx], rax ; xor eax, eax ; pop rbx ; ret ; 
0x52515 | mov qword ptr [rsi + rcx + 8], rax ; xor eax, eax ; pop rbx ; ret ; 
0x8941c | mov rax, qword ptr [rbx + 0x20] ; mov qword ptr [rbx + 0x28], rax ; pop rbx ; ret ; 
0x199abc | mov rax, qword ptr [rsp] ; add rsp, 0x30 ; pop rbx ; ret ; 
0xa1915 | mov rax, rbx ; pop rbx ; cmovne rax, rdx ; ret ; 
0x9230f | mov rax, rdi ; pop rbp ; pop r12 ; ret ; 
0x165d9e | mov rsi, rax ; shr ecx, 3 ; rep movsq qword ptr [rdi], qword ptr [rsi] ; ret ; 
0xff937 | mov word ptr [rax + rax*8], fs ; add dword ptr [rax], eax ; add byte ptr [rcx], al ; ret ; 
0xfd689 | mov word ptr [rax + rdx*4], fs ; add byte ptr [rax], al ; add byte ptr [rcx], al ; ret ; 
0xbaabc | mov word ptr [rdi + 0x10], cx ; xor ch, ch ; mov byte ptr [rdi + 0x12], ch ; ret ; 
0xbabc4 | mov word ptr [rdi + 0x18], cx ; xor ch, ch ; mov byte ptr [rdi + 0x1a], ch ; ret ; 
0xba968 | mov word ptr [rdi + 4], dx ; xor ch, ch ; mov byte ptr [rdi + 6], ch ; ret ; 
0xba9ca | mov word ptr [rdi + 8], dx ; xor ch, ch ; mov byte ptr [rdi + 0xa], ch ; ret ; 
0xba913 | mov word ptr [rdi], dx ; xor ch, ch ; mov byte ptr [rdi + 2], ch ; ret ; 
0xbaa84 | movdqu xmmword ptr [rdi], xmm0 ; xor ch, ch ; mov byte ptr [rdi + 0x10], ch ; ret ; 
0x3e9d3 | movq mm0, qword ptr [rsp] ; add rsp, 0x20 ; pop rbx ; ret ; 
0xbac7e | movq qword ptr [rdi + 0x10], mm2 ; xor ch, ch ; mov byte ptr [rdi + 0x20], ch ; ret ; 
0xbacf4 | movq qword ptr [rdi + 0x30], mm7 ; xor ch, ch ; mov byte ptr [rdi + 0x40], ch ; ret ; 
0xbac1e | movq qword ptr [rdi + 0xd], mm2 ; xor ch, ch ; mov byte ptr [rdi + 0x1d], ch ; ret ; 
0xbac3e | movq qword ptr [rdi + 0xe], mm2 ; xor ch, ch ; mov byte ptr [rdi + 0x1e], ch ; ret ; 
0xbac5e | movq qword ptr [rdi + 0xf], mm2 ; xor ch, ch ; mov byte ptr [rdi + 0x1f], ch ; ret ; 
0xb76cb | movq qword ptr [rdi], mm0 ; mov dword ptr [rdi + 0x10], ecx ; mov byte ptr [rdi + 0x14], dl ; ret ; 
0xbaa85 | movq qword ptr [rdi], mm0 ; xor ch, ch ; mov byte ptr [rdi + 0x10], ch ; ret ; 
0x30938 | movsd dword ptr [rdi], dword ptr [rsi] ; cmp eax, dword ptr [rax] ; mov qword ptr fs:[rdx], rax ; ret ; 
0x8e33e | movsxd rax, dword ptr [rax - 0x77] ; add ebx, dword ptr [rbx + 0x5d] ; pop r12 ; ret ; 
0xd0799 | movsxd rax, dword ptr [rcx] ; add byte ptr [rax], al ; lea rax, [rdi - 0x10] ; ret ; 
0x18a3ad | movsxd rax, ecx ; add rax, rdi ; sub rax, r8 ; ret ; 
0x18a157 | movsxd rax, ecx ; add rax, rdi ; sub rax, rsi ; ret ; 
0x18a197 | movsxd rcx, ecx ; lea rax, [rdi + rcx] ; sub rax, rsi ; ret ; 
0x306e5 | movsxd rdi, edi ; movzx eax, word ptr [rax + rdi*2] ; and eax, 1 ; ret ; 
0x1411c2 | movsxd rdx, eax ; add rdi, rdx ; mov qword ptr [r9], rdi ; ret ; 
0x141039 | movsxd rdx, edx ; mov eax, r8d ; mov byte ptr [rdi + rdx], 0 ; ret ; 
0xac340 | movzx eax, byte ptr [rdi] ; movzx edx, byte ptr [rsi] ; sub eax, edx ; ret ; 
0x134d9d | movzx eax, dh ; or eax, edi ; bswap eax ; ret ; 
0x134dab | movzx eax, si ; or eax, edi ; bswap eax ; ret ; 
0x134d9c | movzx eax, sil ; or eax, edi ; bswap eax ; ret ; 
0x10eb10 | movzx eax, word ptr [rdi] ; mov word ptr [rsi], ax ; xor eax, eax ; ret ; 
0xbd095 | neg eax ; cmp ecx, r8d ; cmovg eax, edx ; ret ; 
0x134d2b | nop dword ptr [rax + rax] ; mov eax, edi ; bswap eax ; ret ; 
0xa8584 | nop dword ptr [rax] ; mov dword ptr [rdi], ecx ; mov rax, rdi ; ret ; 
0x306bd | nop dword ptr [rax] ; mov eax, edi ; and eax, 0x7f ; ret ; 
0xb759d | nop dword ptr [rax] ; mov edx, dword ptr [rsi] ; mov dword ptr [rdi], edx ; ret ; 
0x5150c | nop dword ptr [rax] ; mov rax, rbx ; pop rbx ; ret ; 
0x133f5c | nop dword ptr [rax] ; xor esi, esi ; mov rax, rsi ; ret ; 
0xa823a | nop word ptr [rax + rax] ; ret ; 
0x10ea1a | nop word ptr [rax + rax] ; xor eax, eax ; pop rbx ; ret ; 
0x15e341 | not eax ; add rsp, 8 ; shr eax, 0x1f ; ret ; 
0x1674b3 | not eax ; and qword ptr [rdi + rdx*8], rax ; xor eax, eax ; ret ; 
0x1674b2 | not rax ; and qword ptr [rdi + rdx*8], rax ; xor eax, eax ; ret ; 
0x11650a | or al, 0 ; add byte ptr [rax], al ; mov eax, 0xffffffff ; ret ; 
0x9547c | or al, 0 ; add byte ptr [rax], al ; mov rax, rsi ; ret ; 
0x9544a | or al, 0x1e ; mov rax, rsi ; pop rbx ; ret ; 
0x121ffb | or al, 0x3f ; shr eax, cl ; and eax, 3 ; ret ; 
0xbd164 | or al, 0x48 ; mov eax, ebx ; pop rbx ; ret ; 
0xd1249 | or al, 0x5d ; pop r12 ; pop r14 ; ret ; 
0x3e4f3 | or al, 0x75 ; or dh, bl ; addps xmm0, xmm0 ; ret ; 
0xbccc5 | or al, 0xf ; test dword ptr [rcx + rax], eax ; add byte ptr [rax], al ; ret ; 
0xb7253 | or al, 0xf ; test dword ptr [rsi + 7], eax ; add byte ptr [rax], al ; ret ; 
0x8a1da | or al, byte ptr [rax] ; nop dword ptr [rax] ; and dword ptr [rdi], 0xffffffcf ; ret ; 
0x13320d | or al, ch ; mov r11b, 0xf5 ; dec dword ptr [rax + 0x39] ; ret ; 
0x9ee32 | or al, dh ; add dword ptr [rax], eax ; cmovne rax, rdx ; ret ; 
0x91eca | or bl, al ; nop dword ptr [rax] ; mov rax, rdx ; ret ; 
0x1413e3 | or bl, al ; nop dword ptr [rax] ; xor eax, eax ; ret ; 
0xedc41 | or byte ptr [r8 + r15*4], r11b ; add al, byte ptr [rax] ; add byte ptr [rax], al ; ret ; 
0x8ff29 | or byte ptr [rax + 0x39], cl ; sal byte ptr [rbx + 0x21], 1 ; movzx eax, byte ptr [rax] ; ret ; 
0xedc42 | or byte ptr [rax + rdi*4], bl ; add al, byte ptr [rax] ; add byte ptr [rax], al ; ret ; 
0x124e41 | or byte ptr [rax - 0x75], cl ; add al, 0x24 ; add rsp, 0x38 ; ret ; 
0x124ea2 | or byte ptr [rax - 0x75], cl ; add al, 0x24 ; add rsp, 0x40 ; ret ; 
0x3d245 | or byte ptr [rax], 0x48 ; add ecx, dword ptr [rdi + 0x20] ; mov rax, rcx ; ret ; 
0x8eb47 | or byte ptr [rax], al ; add byte ptr [rax], al ; add bl, dh ; ret ; 
0x586e8 | or byte ptr [rax], al ; mov qword ptr [rdi], rax ; mov rax, rdi ; ret ; 
0xba9cd | or byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0xa], ch ; ret ; 
0xbaa0b | or byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0xc], ch ; ret ; 
0xba9ab | or byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 9], ch ; ret ; 
0x7f303 | or byte ptr [rcx + 0x415d5bf0], cl ; pop rsp ; pop r13 ; ret ; 
0x539d0 | or byte ptr [rcx + rax - 0x3e], cl ; mov rax, rdx ; pop rbx ; ret ; 
0x10f474 | or byte ptr [rcx], al ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0xedc2c | or byte ptr [rcx], al ; mov byte ptr [rdi], al ; mov eax, 1 ; ret ; 
0xd0133 | or byte ptr [rcx], bh ; push rdi ; or byte ptr [rbp - 0x35], dh ; ret ; 
0x8fb93 | or byte ptr [rcx], dh ; ror byte ptr [rax - 0x7d], 0xc4 ; or byte ptr [rbx + 0x5d], bl ; ret ; 
0x14848a | or byte ptr [rdi], cl ; mov dh, 0x43 ; add dword ptr [rax - 0x7d], ecx ; ret ; 
0x111c10 | or byte ptr [rdi], cl ; mov dh, 0xc0 ; add rsp, 0x58 ; ret ; 
0x121ac8 | or byte ptr [rdi], cl ; mov dh, 0xc0 ; neg eax ; ret ; 
0x9d60a | or byte ptr [rdx + 0xb], dh ; mov rax, r8 ; mov qword ptr [rdi], rsi ; ret ; 
0xb6121 | or byte ptr [rsi + 0xf], ah ; adc ecx, dword ptr [rdx + 8] ; mov rax, rdi ; ret ; 
0x17ef06 | or cl, byte ptr [rdi] ; test dword ptr [rbx + 2], eax ; add byte ptr [rax], al ; ret ; 
0x2256a | or dword ptr [rax], eax ; add byte ptr [rax], al ; mov eax, edi ; ret ; 
0x14dc47 | or dword ptr [rax], eax ; add byte ptr [rax], al ; movups xmmword ptr [rsi + 8], xmm0 ; ret ; 
0x1597d3 | or dword ptr [rax], ebx ; sub dword ptr [rax], eax ; pop rbx ; ret ; 
0x8a970 | or dword ptr [rbx], 0x20 ; mov eax, 0xffffffff ; pop rbx ; ret ; 
0x17eee6 | or dword ptr [rdi], ecx ; test dword ptr [rbx + 2], esp ; add byte ptr [rax], al ; ret ; 
0x115999 | or eax, 0x80000000 ; mov dword ptr [rdi], eax ; xor eax, eax ; ret ; 
0x400c8 | or eax, dword ptr [rax] ; mov qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x8fb44 | or ebp, dword ptr [rbx] ; push rax ; sbb byte ptr [rbx - 0x2fd6efb9], cl ; ret ; 
0xa0811 | or ecx, dword ptr [rcx] ; add dword ptr [rax], eax ; cmove rax, rdx ; ret ; 
0xb7233 | or ecx, dword ptr [rdi] ; test dword ptr [rsi + 7], esp ; add byte ptr [rax], al ; ret ; 
0x3e396 | or edi, edx ; movd xmm1, edi ; movaps xmm0, xmm1 ; ret ; 
0x3fffd | or edx, dword ptr [rax + rax*8] ; mov qword ptr [rdi + rax*8], rdx ; xor eax, eax ; ret ; 
0x8a971 | or esp, dword ptr [rax] ; mov eax, 0xffffffff ; pop rbx ; ret ; 
0x114a44 | or esp, dword ptr [rsi - 0x77] ; push rsi ; xor ax, ax ; ret ; 
0x17eee5 | or qword ptr [rdi], rcx ; test dword ptr [rbx + 2], esp ; add byte ptr [rax], al ; ret ; 
0x400c7 | or rax, qword ptr [r8] ; mov qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x14b160 | out 0x31, eax ; ror byte ptr [rax - 0x7d], 0xc4 ; or byte ptr [rbx + 0x5d], bl ; ret ; 
0x106175 | out 0x8d, eax ; push rbx ; add dword ptr [rax - 0x7d], ecx ; ret ; 
0xbd321 | out dx, al ; xor edi, edi ; mov rax, rdi ; ret ; 
0x3e879 | outsd dx, dword ptr [rsi] ; add al, 0x24 ; add rsp, 0x28 ; ret ; 
0x90852 | outsd dx, dword ptr [rsi] ; and al, 0x89 ; adc byte ptr [r11 + 0x5d], r11b ; ret ; 
0x582ca | outsd dx, dword ptr [rsi] ; and al, 0xe8 ; pinsrw xmm0, eax, 6 ; ret ; 
0x86acd | outsd dx, dword ptr [rsi] ; sar bh, 1 ; dec dword ptr [rax + 0x29] ; ret ; 
0x5ed24 | outsd dx, dword ptr [rsi] ; sbb ah, byte ptr [rsi + 0xf] ; outsd dx, dword ptr [rsi] ; ret ; 
0xac043 | pmovmskb eax, mm1 ; bsr eax, eax ; add rax, rdi ; ret ; 
0x47770 | pop rax ; idiv bh ; dec dword ptr [rax + 0x39] ; ret ; 
0xb5674 | pop rax ; or dword ptr [rax], eax ; add cl, ch ; ret ; 
0x14ec4c | pop rbx ; pop rbp ; add eax, edx ; ret ; 
0xc7be4 | pop rbx ; pop rbp ; pop r14 ; ret ; 
0x10541b | pop rcx ; add al, 0 ; add byte ptr [rax - 0x77], cl ; ret ; 
0x10d153 | pop rcx ; mov dh, 0xf4 ; dec dword ptr [rax - 0x77] ; ret ; 
0x10fb9a | pop rdi ; add byte ptr [rax], al ; add byte ptr [rax - 1], bh ; ret ; 
0x66e72 | pop rdx ; mov ah, 1 ; add byte ptr [rax + 0x39], cl ; ret ; 
0x103cc9 | pop rdx ; pop rcx ; pop rbx ; ret ; 
0xffb03 | pop rsp ; add dword ptr [rax], eax ; add byte ptr [rcx], bh ; ret ; 
0xd1545 | pop rsp ; and al, 0xf0 ; movsd xmm0, qword ptr [rsp - 0x10] ; ret ; 
0x1596b5 | push 0x29 ; add byte ptr [rax + 0x39], cl ; sal byte ptr [rbx + rax + 0x5b], 1 ; ret ; 
0x199a48 | push 0x48 ; add esp, 0x30 ; pop rbx ; ret ; 
0x199a46 | push qword ptr [rbp + 0x6a] ; add rsp, 0x30 ; pop rbx ; ret ; 
0x84268 | push qword ptr [rbp + rax + 0x5b] ; pop rbp ; pop r12 ; ret ; 
0x8a76f | push qword ptr [rcx] ; ror byte ptr [rax - 0x7d], 0xc4 ; sbb byte ptr [rbx + 0x5d], bl ; ret ; 
0x1245d9 | push qword ptr [rsi + rax - 0x7d] ; rol byte ptr [rcx], 0x66 ; mov dword ptr [rdx], eax ; ret ; 
0x3f8ae | push rax ; movups xmmword ptr [rdi + 0x60], xmm0 ; movups xmmword ptr [rdi + 0x70], xmm0 ; ret ; 
0x907a2 | push rax ; or byte ptr [rax - 0x75], cl ; adc byte ptr [rcx - 0x7d], al ; ret ; 
0x130065 | push rax ; shr ax, 0xe ; and eax, 1 ; ret ; 
0x115785 | push rax ; xor rax, 0x20 ; mov qword ptr [rsi + 0x48], rax ; ret ; 
0x10e834 | push rbp ; add al, 0x8d ; add dword ptr [r8 - 0x7d], ecx ; ret ; 
0x11c597 | push rbp ; add ebp, dword ptr [rip + 0x5d5b5900] ; pop r12 ; ret ; 
0x1058c0 | push rbp ; or dword ptr [rax], eax ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x145c94 | push rbx ; sub al, byte ptr [rax] ; mov rax, qword ptr fs:[rax] ; ret ; 
0x1651eb | push rcx ; add dword ptr [rax], eax ; add byte ptr [rax - 0x77], cl ; ret ; 
0x59866 | push rcx ; sub dh, al ; add byte ptr [rcx - 0x7d], cl ; ret ; 
0xb8ef2 | push rdi ; adc al, 0x48 ; lea eax, [rdi + 0x15] ; ret ; 
0xb8d3a | push rdi ; add al, 0x48 ; lea eax, [rdi + 6] ; ret ; 
0x1401fb | push rdi ; or al, 0x48 ; mov dword ptr [rsi], edi ; ret ; 
0xb145b | push rdi ; xor byte ptr [rsi + 0xf], ah ; outsd dx, dword ptr [rsi] ; ret ; 
0x1595ea | push rdx ; imul ebp, dword ptr [rcx], 0 ; mov qword ptr fs:[rax], rdx ; ret ; 
0x9d076 | push rdx ; or byte ptr [rax - 0x7b], cl ; sal byte ptr [rbp - 0xd], cl ; ret ; 
0x43f3e | push rsi ; or byte ptr [rcx - 0x3e], bh ; xor eax, eax ; ret ; 
0x14102a | push rsp ; add esi, edi ; mov eax, r8d ; ret ; 
0xa8504 | push rsp ; and al, 0x16 ; mov byte ptr [rdi + 6], dl ; ret ; 
0xa84e3 | push rsp ; and al, 0xc ; mov word ptr [rdi + 4], dx ; ret ; 
0xa86b6 | push rsp ; and al, 0xe ; mov byte ptr [rdi + 6], dl ; ret ; 
0x3e63d | push rsp ; and al, 0xe0 ; movdqa xmm0, xmmword ptr [rsp - 0x28] ; ret ; 
0xa8695 | push rsp ; and al, 0xec ; mov word ptr [rdi + 4], dx ; ret ; 
0x54ba0 | push rsp ; and al, 0xf8 ; movsd xmm0, qword ptr [rsp - 8] ; ret ; 
0x54b5a | push rsp ; and al, 0xfc ; movss xmm0, dword ptr [rsp - 4] ; ret ; 
0xd1196 | rcr byte ptr [rbx + 0x5d], 0x41 ; pop rsp ; pop r14 ; ret ; 
0x52bf9 | rcr dword ptr [rcx], 0xc0 ; and eax, 2 ; sub eax, 1 ; ret ; 
0xbbb43 | rol bl, 0x48 ; mov eax, edx ; pop rbx ; ret ; 
0xd0beb | rol bl, 0xb8 ; add dword ptr [rax], eax ; add byte ptr [rax], al ; ret ; 
0x10f50c | rol byte ptr [rcx], cl ; ror byte ptr [rax + 0x39], 1 ; div dword ptr [rdi - 0x14] ; ret ; 
0x3f935 | rol eax, cl ; and qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x3f934 | rol rax, cl ; and qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x1674b4 | ror byte ptr [rax + 0x21], 1 ; add al, 0xd7 ; xor eax, eax ; ret ; 
0x130008 | ror byte ptr [rax + 0x48], 0x39 ; sal byte ptr [rdx - 0xf], 1 ; xor eax, eax ; ret ; 
0xac365 | ror byte ptr [rax - 0x2d], 0xfa ; movzx edx, dl ; sub eax, edx ; ret ; 
0xa1914 | ror byte ptr [rax - 0x77], 0xd8 ; pop rbx ; cmovne rax, rdx ; ret ; 
0x3dbb4 | ror byte ptr [rcx - 0x24efdbbc], 1 ; insb byte ptr [rdi], dx ; and al, 8 ; ret ; 
0x4c886 | ror byte ptr [rdi], 0x84 ; or dword ptr [rax], eax ; add byte ptr [rax], bh ; ret ; 
0x7bd1b | ror byte ptr [rdi], 0xb6 ; sal bh, 0xd8 ; pop rbx ; ret ; 
0x111dfa | ror byte ptr [rdi], 0xb6 ; shr byte ptr [rcx], cl ; sal bl, 1 ; ret ; 
0x1963a2 | ror dword ptr [rax - 0x7b], cl ; fisttp dword ptr [rdi] ; xchg eax, ebp ; ret ; 
0x191016 | ror dword ptr [rdi], 0x85 ; cmpsb byte ptr [rsi], byte ptr [rdi] ; add eax, 0xc0310000 ; ret ; 
0xbd094 | sal bh, 0xd8 ; cmp ecx, r8d ; cmovg eax, edx ; ret ; 
0x14106e | sal bl, 0x48 ; stosd dword ptr [rdi], eax ; mov eax, r8d ; ret ; 
0x157fee | sal byte ptr [rbp + 0x13], 1 ; sub rsp, -0x80 ; pop rbx ; ret ; 
0x158731 | sal byte ptr [rbp + 0x1b], 1 ; add rsp, 0x10 ; pop rbx ; ret ; 
0x7b5e0 | sal byte ptr [rbp + 0xd], 0x48 ; mov eax, ebx ; pop rbx ; ret ; 
0xa815a | sal byte ptr [rbp - 0x15], cl ; xor edx, edx ; mov qword ptr [rdi], rdx ; ret ; 
0x15976a | sal byte ptr [rbx + 0x48], 1 ; sub eax, -0x80 ; pop rbx ; ret ; 
0x18a26c | sal byte ptr [rcx + rbx*8 + 0x48], cl ; movsxd rax, ecx ; add rax, rdi ; ret ; 
0x1300e6 | sal byte ptr [rcx], 1 ; ror byte ptr [rax + 0x39], 0xfa ; setae al ; ret ; 
0x113873 | sal byte ptr [rcx], cl ; div byte ptr [rcx] ; shr al, 0xc3 ; ret ; 
0x159718 | sal byte ptr [rdx + 0x64], 0x48 ; mov dword ptr [rbx], eax ; pop rbx ; ret ; 
0x159660 | sal byte ptr [rsi + rbp*4 + 0x64], 0x48 ; mov dword ptr [rbx], eax ; pop rbx ; ret ; 
